Temperature,Humidity,Pressure,Windspeed,Winddirection,Directinclined,Diffuseinclined,Reflected,Globalinclined,Directhoriz,Diffushoriz,Globalhoriz,TopAtm,ClearSkiGHI,Nebulosity,EPEX
279.61275,76.9816,1020.3517,5.88975,289.7955,14.5,64.5,1,79.5,6,65.5,71.5,335.5,42.3555,8,45.09
279.830175,76.7548,1020.3602,5.693075,291.68695,16.25,71.75,1,88.75,7,72.75,79.75,362.25,48.2892,8,44.57
280.0476,76.528,1020.3687,5.4964,293.5784,18,79,1,98,8,80,88,389,53.7165,8,44.05
280.282725,75.7615,1020.33575,5.3412,294.163175,19,82.5,1,102.5,8.5,83.75,92.25,402.25,58.5847,8,44.3625
280.51785,74.995,1020.3028,5.186,294.74795,20,86,1,107,9,87.5,96.5,415.5,62.8779,8,44.675
280.752975,74.2285,1020.26985,5.0308,295.332725,21,89.5,1,111.5,9.5,91.25,100.75,428.75,66.5351,8,44.9875
280.9881,73.462,1020.2369,4.8756,295.9175,22,93,1,116,10,95,105,442,69.5071,8,45.3
280.9095,73.234925,1020.328175,4.768,295.234125,51,103,1.25,155.25,23.25,100.25,123.5,440.5,71.7679,8,46.135
280.8309,73.00785,1020.41945,4.6604,294.55075,80,113,1.5,194.5,36.5,105.5,142,439,73.2977,8,46.97
280.7523,72.780775,1020.510725,4.5528,293.867375,109,123,1.75,233.75,49.75,110.75,160.5,437.5,74.0823,8,47.805
280.6737,72.5537,1020.602,4.4452,293.184,138,133,2,273,63,116,179,436,74.0743,8,48.64
280.359975,72.712425,1020.64985,4.387225,291.286125,144.5,130,2,276.5,64.75,111.75,176.5,420,73.3082,8,47.6975
280.04625,72.87115,1020.6977,4.32925,289.38825,151,127,2,280,66.5,107.5,174,404,71.8021,8,46.755
279.732525,73.029875,1020.74555,4.271275,287.490375,157.5,124,2,283.5,68.25,103.25,171.5,388,69.5494,8,45.8125
279.4188,73.1886,1020.7934,4.2133,285.5925,164,121,2,287,70,99,169,372,66.5636,8,44.87
278.89185,74.2468,1020.88045,4.1875,284.70545,148.5,111.75,1.75,262.25,62,91.5,153.5,342.75,62.8642,7.75,43.9025
278.3649,75.305,1020.9675,4.1617,283.8184,133,102.5,1.5,237.5,54,84,138,313.5,58.5887,7.5,42.935
